quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.542499, 109153, 6726.69, 2.23175e+09, 1159.25, 49858, 17.5229, 8716.17
2,0.543060, 109146, 6723.79, 2.23079e+09, 1158.05, 49858, 17.5275, 8711.64
3,0.582541, 109079, 6327.99, 2.09948e+09, 1024.59, 44461, 18.0593, 8194.28
4,0.638229, 108808, 5703.01, 1.89212e+09, 837.417, 40606, 18.9353, 7408.11
5,0.684254, 108692, 5225.98, 1.73386e+09, 708.738, 38807, 19.6599, 6815.22
6,0.715379, 108443, 4893.1, 1.62341e+09, 621.93, 37265, 20.2273, 6384.21
7,0.739400, 108337, 4638.51, 1.53895e+09, 558.586, 32639, 20.6938, 6050.37
8,0.758973, 108252, 4427.24, 1.46885e+09, 509.8, 33153, 21.0907, 5780.12
9,0.775148, 108175, 4253.66, 1.41126e+09, 470.631, 34438, 21.4379, 5553.63
10,0.789181, 108035, 4099.62, 1.36016e+09, 438.692, 28270, 21.7431, 5361.87
11,0.800964, 107966, 3969.93, 1.31713e+09, 411.218, 27242, 22.024, 5191.26
12,0.811033, 107904, 3855.21, 1.27907e+09, 388.314, 27499, 22.2729, 5044.62
13,0.820384, 107699, 3753.64, 1.24537e+09, 368.166, 26728, 22.5043, 4912
14,0.826158, 107727, 3673.66, 1.21883e+09, 352.281, 27499, 22.6958, 4804.87
15,0.833371, 107688, 3591.58, 1.1916e+09, 336.974, 27499, 22.8888, 4699.32
16,0.839362, 107413, 3514.35, 1.16598e+09, 323.229, 25700, 23.0696, 4602.48
17,0.844781, 107540, 3451.16, 1.14501e+09, 311.091, 24672, 23.2359, 4515.23
18,0.850614, 107488, 3377.61, 1.12061e+09, 298.737, 24672, 23.4118, 4424.67
19,0.854868, 107431, 3324.23, 1.1029e+09, 288.938, 23387, 23.5567, 4351.5
20,0.858948, 107404, 3269.85, 1.08486e+09, 280.061, 23130, 23.6922, 4284.13
21,0.863023, 107301, 3213.61, 1.0662e+09, 270.168, 22616, 23.8484, 4207.79
