quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.735689, 95059, 2948.05, 8.6602e+08, 258.279, 43433, 24.0438, 4114.16
2,0.735698, 95057, 2947.88, 8.65969e+08, 258.231, 43433, 24.0446, 4113.78
3,0.743864, 95039, 2898.63, 8.51501e+08, 242.745, 40606, 24.3132, 3988.52
4,0.768077, 94124, 2333.94, 6.85619e+08, 182.119, 32896, 25.5612, 3454.73
5,0.777945, 93995, 2125.1, 6.24269e+08, 155.321, 30840, 26.2524, 3190.45
6,0.794690, 93312, 1922.49, 5.64751e+08, 135, 32639, 26.8614, 2974.43
7,0.807485, 92321, 1759.28, 5.16807e+08, 119.978, 29041, 27.3737, 2804.07
8,0.818239, 91452, 1618.95, 4.75582e+08, 108.607, 28270, 27.8061, 2667.88
9,0.828557, 90757, 1530.35, 4.49556e+08, 100.367, 28013, 28.1488, 2564.68
10,0.834906, 90607, 1475.32, 4.33389e+08, 94.6235, 25957, 28.4047, 2490.21
11,0.842951, 89607, 1408.78, 4.13844e+08, 89.1648, 23130, 28.6628, 2417.32
12,0.849117, 89202, 1354.74, 3.97969e+08, 84.4944, 24158, 28.8965, 2353.16
13,0.856596, 88609, 1305.35, 3.83458e+08, 80.084, 24415, 29.1293, 2290.92
14,0.860520, 87522, 1262.2, 3.70784e+08, 76.5559, 24158, 29.3249, 2239.89
15,0.864057, 87541, 1236.68, 3.63286e+08, 73.5787, 21331, 29.4972, 2195.9
16,0.869291, 86972, 1198.62, 3.52106e+08, 70.6093, 21845, 29.6761, 2151.14
17,0.872892, 86170, 1171.76, 3.44215e+08, 68.1665, 19789, 29.829, 2113.6
18,0.876927, 85819, 1147.02, 3.36949e+08, 65.8016, 19789, 29.9824, 2076.61
19,0.880330, 84753, 1124.32, 3.3028e+08, 63.8952, 20046, 30.11, 2046.31
20,0.883717, 84751, 1101.4, 3.23549e+08, 62.0411, 22873, 30.2379, 2016.4
21,0.886196, 84035, 1086.16, 3.19071e+08, 60.1201, 21331, 30.3745, 1984.94
22,0.888822, 83691, 1068.5, 3.13883e+08, 58.4825, 22616, 30.4945, 1957.72
23,0.891053, 83230, 1051.54, 3.089e+08, 56.9496, 22616, 30.6098, 1931.89
24,0.893837, 82691, 1031.4, 3.02985e+08, 55.423, 19532, 30.7278, 1905.82
25,0.895605, 82122, 1015.95, 2.98446e+08, 54.1755, 17219, 30.8267, 1884.25
26,0.897834, 82031, 1004.76, 2.95159e+08, 52.8548, 17476, 30.9339, 1861.14
