quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.666871, 131475, 3113.77, 1.2483e+09, 212.37, 34438, 24.8938, 3730.64
2,0.666980, 131473, 3113.55, 1.24821e+09, 212.296, 34438, 24.8953, 3729.99
3,0.682186, 131433, 3057.95, 1.22592e+09, 201.605, 34438, 25.1197, 3634.86
4,0.713751, 131111, 2586.68, 1.03699e+09, 148.128, 31611, 26.4584, 3115.7
5,0.742462, 130846, 2019.38, 8.09563e+08, 106.419, 27499, 27.8945, 2640.87
6,0.769921, 127077, 1612.37, 6.46394e+08, 81.8328, 32382, 29.0355, 2315.8
7,0.788106, 127371, 1525.05, 6.11388e+08, 71.7623, 24158, 29.6058, 2168.63
8,0.802539, 124871, 1470.24, 5.89415e+08, 65.6479, 24415, 29.9925, 2074.18
9,0.813183, 124888, 1432.46, 5.74269e+08, 60.7091, 23644, 30.3322, 1994.64
10,0.825827, 126693, 1321.51, 5.29786e+08, 54.1658, 23901, 30.8275, 1884.08
11,0.835800, 126599, 1234.92, 4.95075e+08, 49.7726, 21588, 31.1948, 1806.06
12,0.843531, 111609, 1138.13, 4.56272e+08, 46.1931, 19018, 31.519, 1739.9
13,0.851861, 125556, 1198.65, 4.80536e+08, 44.6385, 19532, 31.6676, 1710.38
14,0.856941, 125231, 1159.93, 4.65012e+08, 42.0862, 17733, 31.9233, 1660.76
15,0.864417, 123192, 1075.86, 4.3131e+08, 39.1317, 18247, 32.2394, 1601.4
16,0.869681, 123096, 1054.4, 4.22704e+08, 37.4061, 17990, 32.4353, 1565.7
17,0.875292, 116112, 976.095, 3.91313e+08, 35.0666, 17219, 32.7158, 1515.94
18,0.878756, 121781, 983.603, 3.94323e+08, 33.8533, 17733, 32.8687, 1489.49
19,0.883059, 121630, 969.27, 3.88576e+08, 32.709, 16962, 33.0181, 1464.1
20,0.886146, 122567, 972.964, 3.90057e+08, 31.7867, 15420, 33.1423, 1443.31
21,0.890329, 122549, 947.888, 3.80004e+08, 30.4566, 14906, 33.3279, 1412.79
22,0.893965, 105891, 860.775, 3.45081e+08, 28.8986, 16191, 33.556, 1376.18
23,0.896096, 116609, 878.918, 3.52355e+08, 28.2189, 14392, 33.6593, 1359.9
24,0.898608, 118245, 872.845, 3.4992e+08, 27.4858, 14392, 33.7736, 1342.12
25,0.901477, 115825, 847.145, 3.39617e+08, 26.6394, 13878, 33.9095, 1321.29
26,0.904256, 114930, 832.615, 3.33792e+08, 25.9214, 15677, 34.0281, 1303.36
27,0.906330, 116000, 828.732, 3.32235e+08, 25.3122, 15163, 34.1314, 1287.96
28,0.908413, 114631, 803.819, 3.22248e+08, 24.5046, 16191, 34.2722, 1267.25
29,0.910095, 114606, 797.359, 3.19658e+08, 24.0773, 15163, 34.3487, 1256.15
30,0.912105, 112398, 785.593, 3.14941e+08, 23.5489, 14649, 34.445, 1242.29
31,0.913703, 103075, 756.365, 3.03224e+08, 22.9483, 13878, 34.5572, 1226.34
32,0.915316, 115534, 779.022, 3.12307e+08, 22.6381, 13107, 34.6163, 1218.03
33,0.917496, 101825, 733.836, 2.94192e+08, 21.9071, 13364, 34.7589, 1198.2
34,0.918447, 101879, 729.732, 2.92547e+08, 21.619, 13364, 34.8164, 1190.29
35,0.920420, 109445, 735.165, 2.94725e+08, 21.1566, 14135, 34.9103, 1177.5
36,0.922227, 108644, 725.77, 2.90958e+08, 20.6924, 13621, 35.0066, 1164.51
37,0.923110, 108447, 722.074, 2.89477e+08, 20.4615, 12850, 35.0554, 1157.99
38,0.924723, 107593, 711.698, 2.85317e+08, 19.9607, 12850, 35.163, 1143.73
39,0.925864, 108916, 709.248, 2.84335e+08, 19.6855, 12079, 35.2233, 1135.82
40,0.926438, 108884, 707.246, 2.83532e+08, 19.5179, 12079, 35.2604, 1130.98
41,0.928108, 110563, 702.777, 2.8174e+08, 19.0436, 11822, 35.3672, 1117.15
42,0.928691, 110526, 699.8, 2.80547e+08, 18.8719, 11822, 35.4066, 1112.1
43,0.929627, 110446, 695.401, 2.78784e+08, 18.6133, 12079, 35.4665, 1104.46
44,0.931318, 98941, 664.015, 2.66201e+08, 18.1129, 13107, 35.5849, 1089.51
45,0.932058, 98843, 660.866, 2.64939e+08, 17.9235, 12079, 35.6305, 1083.8
46,0.933278, 97060, 649.974, 2.60572e+08, 17.5369, 12079, 35.7252, 1072.05
47,0.934116, 97069, 646.798, 2.59299e+08, 17.325, 12079, 35.778, 1065.55
48,0.934684, 97011, 642.781, 2.57688e+08, 17.1612, 12850, 35.8193, 1060.5
49,0.936219, 102453, 644.229, 2.58269e+08, 16.7947, 12850, 35.913, 1049.12
50,0.936598, 102510, 643.069, 2.57804e+08, 16.6905, 12850, 35.94, 1045.86
51,0.936921, 102465, 641.761, 2.5728e+08, 16.582, 12850, 35.9684, 1042.45
52,0.938541, 101702, 633.971, 2.54156e+08, 16.1917, 12850, 36.0718, 1030.11
53,0.939171, 101688, 630.499, 2.52765e+08, 16.0214, 12593, 36.1177, 1024.68
54,0.940031, 101593, 626.916, 2.51328e+08, 15.7951, 12593, 36.1795, 1017.41
55,0.940874, 92800, 606.584, 2.43177e+08, 15.5212, 12593, 36.2555, 1008.55
56,0.942103, 92874, 601.419, 2.41106e+08, 15.2425, 12850, 36.3342, 999.458
57,0.942902, 92804, 596.532, 2.39147e+08, 15.0066, 11565, 36.4019, 991.693
58,0.943699, 92324, 589.685, 2.36402e+08, 14.7094, 11308, 36.4888, 981.826
59,0.944228, 92221, 587.07, 2.35354e+08, 14.5524, 10023, 36.5354, 976.571
60,0.945217, 92114, 582.56, 2.33546e+08, 14.3059, 10280, 36.6096, 968.264
61,0.946242, 91083, 575.259, 2.30619e+08, 14.024, 10280, 36.696, 958.676
62,0.946983, 91014, 571.003, 2.28913e+08, 13.8017, 9509, 36.7654, 951.048
63,0.948038, 90918, 565.326, 2.26637e+08, 13.5191, 9766, 36.8553, 941.261
64,0.948762, 90799, 561.659, 2.25167e+08, 13.3238, 9766, 36.9185, 934.438
