quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.634922, 108059, 2727.61, 9.1124e+08, 196.661, 28784, 25.2276, 3590.01
2,0.634898, 108058, 2726.88, 9.10996e+08, 196.541, 28784, 25.2302, 3588.92
3,0.649393, 108022, 2656.2, 8.87385e+08, 182.689, 26471, 25.5476, 3460.13
4,0.683773, 107372, 2216.45, 7.40471e+08, 135.901, 23130, 26.8325, 2984.34
5,0.711781, 106989, 1992.71, 6.65725e+08, 110.054, 19532, 27.7487, 2685.58
6,0.735532, 106341, 1819.31, 6.07795e+08, 92.4807, 19018, 28.5042, 2461.85
7,0.751423, 106044, 1701.68, 5.68496e+08, 81.7269, 17733, 29.0411, 2314.3
8,0.772469, 105569, 1593.75, 5.3244e+08, 72.8164, 17733, 29.5424, 2184.5
9,0.786964, 105052, 1512.21, 5.05199e+08, 66.4217, 16962, 29.9416, 2086.37
10,0.798681, 104618, 1434.12, 4.7911e+08, 60.5514, 16962, 30.3435, 1992.04
11,0.812286, 104444, 1371.52, 4.58198e+08, 55.8141, 15677, 30.6973, 1912.53
12,0.820869, 104070, 1322.14, 4.417e+08, 52.0384, 15163, 31.0015, 1846.71
13,0.831098, 102987, 1247.38, 4.16725e+08, 47.9186, 15163, 31.3597, 1772.1
14,0.839459, 102662, 1204.42, 4.02373e+08, 45.2236, 14906, 31.6111, 1721.55
15,0.846559, 101317, 1162.22, 3.88274e+08, 42.7612, 15420, 31.8542, 1674.02
16,0.852714, 100888, 1125.18, 3.75901e+08, 40.4475, 13878, 32.0958, 1628.1
17,0.859124, 100203, 1095.41, 3.65954e+08, 38.4928, 10794, 32.3109, 1588.28
18,0.864953, 99365, 1062.69, 3.55024e+08, 36.7111, 12850, 32.5168, 1551.08
19,0.869039, 98444, 1039.59, 3.47305e+08, 35.3905, 11308, 32.6759, 1522.93
20,0.873300, 98156, 1018.63, 3.40306e+08, 34.0755, 11822, 32.8403, 1494.37
21,0.877674, 98651, 998.841, 3.33693e+08, 32.7186, 12593, 33.0168, 1464.31
22,0.880638, 99168, 989.552, 3.30589e+08, 31.6861, 13107, 33.156, 1441.02
23,0.885732, 97221, 959.402, 3.20517e+08, 30.515, 13107, 33.3196, 1414.14
24,0.888818, 97891, 943.247, 3.1512e+08, 29.4597, 11822, 33.4724, 1389.48
25,0.891553, 97120, 926.712, 3.09596e+08, 28.6022, 11565, 33.6007, 1369.1
26,0.894717, 96330, 910.22, 3.04086e+08, 27.6626, 10023, 33.7458, 1346.43
27,0.897370, 96286, 897.444, 2.99818e+08, 26.875, 10023, 33.8712, 1327.12
28,0.900364, 95862, 881.236, 2.94403e+08, 25.9762, 9766, 34.019, 1304.74
29,0.902036, 95748, 872.662, 2.91539e+08, 25.3989, 10280, 34.1166, 1290.16
30,0.904406, 95537, 859.985, 2.87304e+08, 24.7066, 10794, 34.2366, 1272.46
31,0.906533, 95905, 848.181, 2.8336e+08, 24.088, 10280, 34.3467, 1256.43
32,0.909018, 95158, 833.459, 2.78442e+08, 23.395, 10280, 34.4735, 1238.22
33,0.911366, 94141, 820.265, 2.74034e+08, 22.7607, 10280, 34.5929, 1221.32
34,0.912586, 94193, 814.493, 2.72106e+08, 22.3992, 10023, 34.6624, 1211.58
35,0.915030, 94621, 803.743, 2.68515e+08, 21.7681, 10537, 34.7865, 1194.39
36,0.916493, 94634, 794.983, 2.65588e+08, 21.2199, 9766, 34.8973, 1179.26
37,0.917231, 94476, 790.614, 2.64128e+08, 20.9762, 10023, 34.9475, 1172.47
38,0.919336, 93342, 775.897, 2.59212e+08, 20.4023, 10794, 35.068, 1156.31
39,0.920957, 93080, 766.927, 2.56215e+08, 20.0199, 10280, 35.1501, 1145.43
40,0.921642, 93045, 763.306, 2.55005e+08, 19.824, 10537, 35.1928, 1139.81
41,0.923466, 93884, 756.553, 2.52749e+08, 19.305, 10537, 35.308, 1124.79
42,0.924013, 93786, 752.653, 2.51446e+08, 19.1098, 10537, 35.3522, 1119.09
43,0.925373, 93506, 746.306, 2.49326e+08, 18.7993, 10537, 35.4233, 1109.96
44,0.926980, 92979, 735.187, 2.45611e+08, 18.384, 10537, 35.5203, 1097.63
45,0.927817, 92872, 730.777, 2.44138e+08, 18.1722, 8995, 35.5707, 1091.29
46,0.929313, 92023, 719.233, 2.40281e+08, 17.7519, 8995, 35.6723, 1078.6
47,0.930250, 92021, 715.451, 2.39018e+08, 17.5304, 8738, 35.7268, 1071.85
48,0.930954, 91845, 710.996, 2.3753e+08, 17.3341, 9509, 35.7757, 1065.83
49,0.932593, 91449, 701.299, 2.3429e+08, 16.901, 9509, 35.8856, 1052.43
50,0.932921, 91420, 699.653, 2.3374e+08, 16.7826, 9252, 35.9161, 1048.74
51,0.933289, 91369, 697.733, 2.33099e+08, 16.6727, 8995, 35.9447, 1045.3
52,0.935014, 90514, 686.303, 2.2928e+08, 16.2311, 8481, 36.0612, 1031.36
53,0.935815, 90201, 681.015, 2.27514e+08, 16.0267, 8738, 36.1163, 1024.85
54,0.936625, 90138, 676.183, 2.25899e+08, 15.7988, 8224, 36.1785, 1017.53
55,0.937594, 90196, 670.529, 2.2401e+08, 15.5334, 7967, 36.2521, 1008.95
56,0.938534, 90115, 664.944, 2.22144e+08, 15.254, 7710, 36.3309, 999.837
57,0.939696, 89967, 658.306, 2.19927e+08, 14.9843, 7710, 36.4084, 990.959
58,0.941032, 89889, 650.873, 2.17444e+08, 14.6775, 7710, 36.4982, 980.761
59,0.941767, 89857, 646.998, 2.16149e+08, 14.4816, 7453, 36.5566, 974.193
60,0.942723, 89935, 642.355, 2.14598e+08, 14.2157, 7710, 36.637, 965.208
61,0.944024, 88829, 632.752, 2.1139e+08, 13.8854, 7453, 36.7391, 953.93
62,0.944858, 88833, 628.097, 2.09835e+08, 13.6427, 8738, 36.8157, 945.554
63,0.946058, 88807, 620.712, 2.07367e+08, 13.33, 7967, 36.9164, 934.656
64,0.946875, 88765, 616.747, 2.06043e+08, 13.1262, 7967, 36.9834, 927.482
65,0.948168, 88937, 609.152, 2.03505e+08, 12.7817, 7967, 37.0989, 915.231
66,0.949168, 88779, 602.824, 2.01391e+08, 12.5086, 8481, 37.1926, 905.403
67,0.950179, 88605, 595.926, 1.99087e+08, 12.2183, 8481, 37.2946, 894.833
68,0.951645, 87339, 584.557, 1.95289e+08, 11.8566, 7453, 37.4251, 881.488
69,0.952584, 86984, 578.326, 1.93207e+08, 11.5969, 7453, 37.5213, 871.78
70,0.954191, 86749, 568.647, 1.89974e+08, 11.1884, 7196, 37.6771, 856.29
71,0.955326, 86891, 561.421, 1.8756e+08, 10.8621, 6939, 37.8056, 843.709
72,0.956363, 86881, 554.768, 1.85337e+08, 10.561, 6939, 37.9277, 831.936
73,0.957370, 86379, 546.836, 1.82687e+08, 10.2924, 6939, 38.0396, 821.287
74,0.959076, 85225, 533.257, 1.7815e+08, 9.84341, 7710, 38.2333, 803.174
75,0.959749, 85139, 528.828, 1.76671e+08, 9.64502, 6168, 38.3217, 795.039
76,0.960997, 85013, 519.952, 1.73706e+08, 9.27803, 5654, 38.4902, 779.766
77,0.962861, 84422, 505.84, 1.68991e+08, 8.81626, 6168, 38.7119, 760.114
78,0.963882, 84154, 498.164, 1.66427e+08, 8.52838, 6168, 38.8561, 747.601
79,0.964946, 84039, 489.975, 1.63691e+08, 8.20726, 6168, 39.0228, 733.391
80,0.966452, 83197, 478.125, 1.59732e+08, 7.83215, 6168, 39.2259, 716.436
81,0.968072, 82952, 465.718, 1.55587e+08, 7.41024, 5397, 39.4664, 696.872
82,0.969244, 82685, 456.632, 1.52552e+08, 7.09027, 4626, 39.6581, 681.66
83,0.970722, 81545, 443.143, 1.48045e+08, 6.7108, 4883, 39.897, 663.168
84,0.972175, 81053, 430.65, 1.43872e+08, 6.33998, 4626, 40.1439, 644.586
85,0.973553, 80452, 418.62, 1.39852e+08, 5.97141, 4626, 40.404, 625.569
86,0.975344, 79677, 403.18, 1.34694e+08, 5.51824, 4626, 40.7467, 601.363
87,0.976648, 78981, 390.533, 1.30469e+08, 5.17207, 4369, 41.0281, 582.195
88,0.978436, 78028, 373.455, 1.24764e+08, 4.71526, 3598, 41.4297, 555.891
89,0.980005, 77244, 358.365, 1.19722e+08, 4.31172, 3341, 41.8182, 531.571
90,0.981765, 75690, 338.711, 1.13157e+08, 3.86072, 3084, 42.2981, 503.003
91,0.983406, 74742, 321.266, 1.07329e+08, 3.43927, 3341, 42.8001, 474.756
92,0.985114, 73374, 300.957, 1.00544e+08, 2.99881, 3084, 43.3952, 443.314
93,0.987011, 70921, 276.46, 9.23596e+07, 2.54587, 2570, 44.1064, 408.465
94,0.988981, 68663, 250.693, 8.37514e+07, 2.08365, 2570, 44.9765, 369.529
