quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.492437, 95639, 3364.75, 9.88429e+08, 294.075, 33410, 23.4801, 4390.01
2,0.492451, 95639, 3364.53, 9.88363e+08, 294.012, 33410, 23.4811, 4389.54
3,0.517968, 95558, 3254.73, 9.5611e+08, 272.16, 33410, 23.8165, 4223.27
4,0.566134, 94758, 2772.33, 8.144e+08, 208.647, 37008, 24.9706, 3697.79
5,0.599887, 94577, 2548.92, 7.48771e+08, 173.797, 26728, 25.7643, 3374.88
6,0.633359, 94088, 2322.31, 6.82202e+08, 148.383, 24415, 26.4509, 3118.37
7,0.662443, 93466, 2160.71, 6.3473e+08, 131.387, 22616, 26.9792, 2934.36
8,0.684427, 93490, 2058.8, 6.04793e+08, 119.144, 20046, 27.404, 2794.3
9,0.703157, 93100, 1968.9, 5.78385e+08, 109.749, 19018, 27.7607, 2681.87
10,0.719786, 92840, 1883.64, 5.53338e+08, 101.475, 19018, 28.1012, 2578.79
11,0.733423, 92554, 1819.92, 5.34621e+08, 95.1505, 19275, 28.3806, 2497.14
12,0.744493, 92477, 1770.55, 5.20116e+08, 90.044, 20560, 28.6202, 2429.2
13,0.755798, 92022, 1713.83, 5.03455e+08, 85.1382, 18247, 28.8635, 2362.1
14,0.765619, 91955, 1671.4, 4.90991e+08, 81.2286, 18247, 29.0676, 2307.23
15,0.774294, 91904, 1637.29, 4.80971e+08, 77.9006, 19275, 29.2493, 2259.47
16,0.781561, 91612, 1602.39, 4.70717e+08, 74.6789, 17990, 29.4328, 2212.26
17,0.790215, 91352, 1565, 4.59735e+08, 71.5725, 17476, 29.6173, 2165.76
18,0.796252, 91244, 1533.65, 4.50526e+08, 68.8462, 17733, 29.7859, 2124.11
19,0.801216, 91260, 1514.06, 4.44771e+08, 66.8347, 17476, 29.9147, 2092.85
20,0.806497, 90905, 1485.9, 4.36499e+08, 64.6999, 16962, 30.0557, 2059.15
21,0.812446, 90931, 1460.81, 4.29126e+08, 62.5129, 15934, 30.205, 2024.05
22,0.817639, 90618, 1437.78, 4.22363e+08, 60.7274, 15677, 30.3309, 1994.94
23,0.822521, 90668, 1418.46, 4.16685e+08, 59.086, 15420, 30.4499, 1967.79
24,0.827093, 90181, 1395.62, 4.09978e+08, 57.4271, 13364, 30.5736, 1939.97
25,0.830861, 90381, 1380.03, 4.05396e+08, 56.0652, 14649, 30.6778, 1916.83
26,0.834752, 90007, 1360.13, 3.99553e+08, 54.639, 14135, 30.7897, 1892.29
27,0.838653, 89950, 1343.72, 3.94732e+08, 53.3958, 16448, 30.8897, 1870.64
28,0.842539, 89819, 1325.38, 3.89343e+08, 52.0223, 15934, 31.0028, 1846.42
29,0.845024, 89797, 1312.6, 3.85589e+08, 51.0678, 13878, 31.0833, 1829.41
30,0.848232, 89638, 1298.79, 3.81533e+08, 50.0372, 16705, 31.1718, 1810.85
31,0.850681, 89551, 1286.73, 3.77989e+08, 49.0652, 16448, 31.257, 1793.18
32,0.853684, 89424, 1272.56, 3.73827e+08, 48.0725, 14906, 31.3458, 1774.95
33,0.856612, 89242, 1258.05, 3.69564e+08, 47.0418, 14649, 31.4399, 1755.81
34,0.858231, 89263, 1250.38, 3.67313e+08, 46.3828, 13364, 31.5012, 1743.47
35,0.860925, 89216, 1235.69, 3.62995e+08, 45.3694, 13107, 31.5971, 1724.32
36,0.863907, 89095, 1221.75, 3.58901e+08, 44.4266, 12850, 31.6883, 1706.31
37,0.864972, 88951, 1215.05, 3.56932e+08, 43.9593, 12850, 31.7342, 1697.31
38,0.867939, 88873, 1201.72, 3.53018e+08, 43.001, 12850, 31.8299, 1678.71
39,0.869652, 88764, 1192.23, 3.5023e+08, 42.3523, 12850, 31.896, 1666
40,0.870599, 88763, 1187.98, 3.48982e+08, 41.9532, 12850, 31.9371, 1658.13
41,0.873813, 88376, 1172.23, 3.44353e+08, 40.9498, 12079, 32.0422, 1638.18
42,0.874883, 88429, 1168.22, 3.43177e+08, 40.5764, 12079, 32.082, 1630.7
43,0.876665, 88313, 1159.15, 3.40511e+08, 39.9704, 12079, 32.1473, 1618.47
44,0.878733, 88269, 1147.38, 3.37054e+08, 39.2327, 11822, 32.2283, 1603.47
45,0.879895, 88181, 1139.81, 3.34831e+08, 38.8276, 11822, 32.2733, 1595.17
46,0.881844, 88068, 1129.16, 3.31703e+08, 38.0949, 11822, 32.3561, 1580.05
47,0.883042, 88066, 1123.97, 3.30178e+08, 37.6787, 11822, 32.4038, 1571.39
48,0.884241, 87926, 1117.76, 3.28353e+08, 37.316, 11822, 32.4458, 1563.81
49,0.886367, 87813, 1106.68, 3.25098e+08, 36.6535, 11565, 32.5236, 1549.87
50,0.887049, 87800, 1102.23, 3.23791e+08, 36.3542, 11565, 32.5592, 1543.53
51,0.887820, 87726, 1098.12, 3.22583e+08, 36.061, 11565, 32.5944, 1537.29
52,0.890052, 87595, 1087.94, 3.19594e+08, 35.3607, 11565, 32.6795, 1522.29
53,0.890996, 87524, 1081.14, 3.17596e+08, 34.9539, 11565, 32.7298, 1513.51
54,0.892363, 87493, 1074.35, 3.15602e+08, 34.4811, 11565, 32.7889, 1503.24
55,0.893757, 87317, 1065.96, 3.13138e+08, 33.9683, 11308, 32.854, 1492.02
56,0.895194, 87209, 1057.17, 3.10555e+08, 33.458, 11051, 32.9197, 1480.77
57,0.896578, 87155, 1048.39, 3.07976e+08, 32.9195, 11051, 32.9902, 1468.8
58,0.898310, 87024, 1038.64, 3.05111e+08, 32.3274, 11051, 33.069, 1455.53
59,0.899430, 86813, 1032.65, 3.03351e+08, 31.9553, 10794, 33.1193, 1447.13
60,0.901168, 86723, 1022.91, 3.00491e+08, 31.4391, 11051, 33.19, 1435.4
61,0.902740, 86767, 1014.25, 2.97945e+08, 30.8679, 10280, 33.2697, 1422.3
62,0.904209, 86598, 1005.65, 2.95421e+08, 30.3658, 10537, 33.3409, 1410.68
63,0.905806, 86430, 997.061, 2.92897e+08, 29.8124, 10280, 33.4208, 1397.77
64,0.907267, 86316, 990.369, 2.90931e+08, 29.3558, 10280, 33.4878, 1387.02
65,0.909136, 86294, 979.211, 2.87653e+08, 28.7218, 10537, 33.5826, 1371.96
66,0.910974, 86208, 969.107, 2.84685e+08, 28.1072, 11051, 33.6766, 1357.21
67,0.912618, 86007, 958.968, 2.81706e+08, 27.5279, 9766, 33.767, 1343.15
