quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
1,0.649418, 96118, 2888.84, 8.48627e+08, 209.528, 44204, 24.9523, 3705.6
2,0.649659, 96116, 2888.33, 8.48476e+08, 209.323, 44204, 24.9566, 3703.78
3,0.661446, 96134, 2821.42, 8.2882e+08, 192.86, 44204, 25.3123, 3555.15
4,0.711357, 94657, 2284.84, 6.71195e+08, 137.958, 33667, 26.7673, 3006.84
5,0.756419, 93774, 1914.31, 5.62349e+08, 105.706, 33667, 27.9237, 2632
6,0.776139, 93057, 1716.43, 5.04219e+08, 87.3897, 30069, 28.7501, 2393.13
7,0.797963, 92433, 1506.25, 4.42475e+08, 72.8041, 31354, 29.5432, 2184.31
8,0.813362, 91116, 1399.84, 4.11216e+08, 64.4506, 24929, 30.0725, 2055.18
9,0.828194, 91285, 1325.55, 3.89394e+08, 57.6813, 22616, 30.5544, 1944.26
10,0.837352, 90429, 1243.15, 3.65188e+08, 51.9156, 22616, 31.0118, 1844.53
11,0.845832, 90434, 1195.64, 3.51231e+08, 48.0644, 22873, 31.3465, 1774.8
12,0.855522, 89398, 1131.13, 3.32279e+08, 44.3374, 23130, 31.697, 1704.6
13,0.866890, 88288, 1059.85, 3.11341e+08, 40.4441, 23130, 32.0962, 1628.04
14,0.871973, 88713, 1030.55, 3.02734e+08, 37.9172, 18761, 32.3764, 1576.36
15,0.878809, 87643, 989.513, 2.90679e+08, 35.7072, 18247, 32.6372, 1529.73
16,0.883885, 87080, 956.921, 2.81105e+08, 33.5909, 17990, 32.9025, 1483.71
17,0.889367, 86561, 927.625, 2.72499e+08, 31.889, 18247, 33.1283, 1445.63
18,0.893011, 86231, 900.686, 2.64586e+08, 30.3252, 19275, 33.3467, 1409.74
19,0.896095, 86102, 885.844, 2.60226e+08, 29.2152, 15934, 33.5086, 1383.7
20,0.900169, 85579, 859.457, 2.52474e+08, 27.8356, 15163, 33.7187, 1350.63
21,0.903887, 84528, 834.586, 2.45168e+08, 26.6713, 14649, 33.9043, 1322.08
22,0.906757, 84608, 818.335, 2.40394e+08, 25.6552, 14649, 34.073, 1296.65
23,0.909844, 84239, 804.571, 2.36351e+08, 24.7496, 15163, 34.229, 1273.56
24,0.913120, 83571, 782.829, 2.29964e+08, 23.8152, 14906, 34.3962, 1249.29
25,0.915375, 83705, 770.892, 2.26457e+08, 22.9917, 13621, 34.549, 1227.5
26,0.917597, 82994, 756.129, 2.2212e+08, 22.2762, 13364, 34.6863, 1208.25
27,0.919578, 83377, 748.617, 2.19914e+08, 21.5743, 12850, 34.8254, 1189.06
28,0.922020, 82588, 730.3, 2.14533e+08, 20.7626, 13364, 34.9919, 1166.48
29,0.923651, 82480, 722.495, 2.1224e+08, 20.3275, 14135, 35.0839, 1154.19
30,0.925066, 82469, 713.758, 2.09673e+08, 19.7491, 15677, 35.2093, 1137.66
31,0.927500, 81270, 697.454, 2.04884e+08, 19.2064, 13107, 35.3303, 1121.91
32,0.928874, 80951, 687.677, 2.02012e+08, 18.6607, 13107, 35.4555, 1105.86
33,0.930981, 80341, 674.021, 1.98001e+08, 18.1331, 13364, 35.58, 1090.12
34,0.931758, 80272, 670.113, 1.96852e+08, 17.8526, 13107, 35.6477, 1081.65
35,0.934010, 80243, 660.161, 1.93929e+08, 17.3074, 13107, 35.7824, 1065.01
36,0.935326, 79905, 650.342, 1.91045e+08, 16.859, 12593, 35.8964, 1051.12
37,0.935906, 79938, 646.594, 1.89944e+08, 16.6562, 11822, 35.949, 1044.78
38,0.937759, 79105, 634.973, 1.8653e+08, 16.1466, 11822, 36.0839, 1028.67
39,0.938728, 79026, 629.5, 1.84922e+08, 15.8425, 12593, 36.1665, 1018.94
40,0.939016, 78966, 626.503, 1.84042e+08, 15.6455, 11565, 36.2209, 1012.58
41,0.940680, 78127, 613.593, 1.80249e+08, 15.1383, 10023, 36.364, 996.037
42,0.941410, 78101, 609.286, 1.78984e+08, 14.9422, 10280, 36.4206, 989.564
43,0.941921, 78067, 605.254, 1.778e+08, 14.7029, 10280, 36.4907, 981.608
44,0.943163, 77931, 597.882, 1.75634e+08, 14.3208, 10537, 36.6051, 968.768
45,0.943836, 77827, 593.496, 1.74345e+08, 14.1339, 11051, 36.6621, 962.425
46,0.944853, 77237, 584.084, 1.71581e+08, 13.7721, 10794, 36.7747, 950.029
47,0.945535, 77198, 581.625, 1.70858e+08, 13.5756, 10280, 36.8372, 943.226
48,0.945988, 76916, 577.473, 1.69639e+08, 13.4041, 10023, 36.8924, 937.249
49,0.947304, 76575, 567.022, 1.66568e+08, 13.0288, 9766, 37.0157, 924.037
50,0.947573, 76589, 564.998, 1.65974e+08, 12.8934, 9766, 37.0611, 919.221
51,0.947872, 76598, 562.991, 1.65384e+08, 12.7395, 9766, 37.1132, 913.719
52,0.949219, 76386, 555.062, 1.63055e+08, 12.3888, 9766, 37.2344, 901.057
53,0.949973, 75898, 549.114, 1.61308e+08, 12.1757, 10280, 37.3098, 893.273
54,0.950460, 75948, 545.406, 1.60218e+08, 11.9658, 10280, 37.3853, 885.54
55,0.951288, 75433, 538.671, 1.5824e+08, 11.7306, 10280, 37.4715, 876.793
56,0.952139, 75306, 533.236, 1.56643e+08, 11.4878, 10537, 37.5624, 867.672
57,0.952739, 75009, 527.438, 1.5494e+08, 11.2525, 9252, 37.6522, 858.74
58,0.953778, 74939, 521.181, 1.53102e+08, 10.9889, 9766, 37.7552, 848.621
59,0.954180, 74881, 517.625, 1.52057e+08, 10.8103, 9766, 37.8263, 841.697
60,0.954879, 74820, 514.058, 1.5101e+08, 10.6165, 10023, 37.9049, 834.118
61,0.956158, 74281, 506.31, 1.48734e+08, 10.3227, 9766, 38.0268, 822.494
62,0.956553, 74053, 501.924, 1.47445e+08, 10.1168, 8738, 38.1143, 814.252
63,0.957387, 73916, 496.68, 1.45905e+08, 9.86001, 8995, 38.226, 803.851
64,0.957906, 73837, 493.179, 1.44876e+08, 9.67876, 8995, 38.3065, 796.428
65,0.959160, 73023, 483.124, 1.41923e+08, 9.36588, 8738, 38.4492, 783.449
